OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM
MAP2K4,FLNC,Two-hybrid
MYPN,ACTN2,Two-hybrid
ACVR1,FNTA,Two-hybrid
GATA2,PML,Two-hybrid
RPA2,STAT3,Two-hybrid
ARF1,GGA3,Two-hybrid
ARF3,ARFIP2,Two-hybrid
ARF3,ARFIP1,Two-hybrid
XRN1,ALDOA,Two-hybrid
APP,APPBP2,Two-hybrid
APLP1,DAB1,Two-hybrid
CITED2,TFAP2A,Two-hybrid
EP300,TFAP2A,Two-hybrid
APOB,MTTP,Two-hybrid
ARRB2,RALGDS,Two-hybrid
CSF1R,GRB2,Two-hybrid
PRRC2A,GRB2,Two-hybrid
LSM1,NARS,Two-hybrid
SLC4A1,SLC4A1AP,Two-hybrid
BCL3,BARD1,Two-hybrid
ADRB1,GIPC1,Two-hybrid
BRCA1,ATF1,Two-hybrid
BRCA1,MSH2,Two-hybrid
BRCA1,BARD1,Two-hybrid
BRCA1,MSH6,Two-hybrid
ARVCF,CDH15,Two-hybrid
PCBD1,CACNA1C,Two-hybrid
PSEN2,CAPN1,Two-hybrid
CAPN3,TTN,Two-hybrid
ITPR1,CA8,Two-hybrid
MAGI1,CTNNB1,Two-hybrid
RB1,CUX1,Two-hybrid
TSG101,CDKN1A,Two-hybrid
ORC1,MCM2,Two-hybrid
ORC4,MCM2,Two-hybrid
